编号,船舶类型,船籍港,船级,航区,长度,型宽,型深,总吨,载重吨,主机型号,主机功率,建成日期,建造船厂,成交日期,交易价格
TRAIN1126,油船,深圳,ZC,沿海,65,10,4,814,980,NTA-855-M350,474,10/31/1994,广东省西江船厂,12/24/2015,59
TRAIN1127,自卸砂船,广州,ZC,内河,73,15,4,1577,2183,KT19-M,576,10/12/2005,广州市番禺兴华造船有限公司,12/28/2015,100
TRAIN1128,自卸砂船,广州,ZC,内河,65,12,4,1146,1186,NT855-M280,380,9/25/2002,广州市番禺兴华造船有限公司,12/28/2015,100
TRAIN1129,自卸砂船,广州,ZC,内河,68,14,4,1397,1878,NT855-M NTA855-M350,436,11/6/2000,广东新塘航运公司船厂,12/28/2015,100
TRAIN1130,快艇,珠海,ZC,沿海,9,2,1,4,0,F200BETX,147,6/10/2010,珠海市琛龙船厂有限公司,12/30/2015,30
TRAIN1131,多用途船,广州,ZC,内河,50,13,4,976,980,NTA855-M350,474,11/26/2004,广州市珠江船舶制造厂,12/30/2015,87
TRAIN1132,普通客船,珠海,ZC,沿海,23,4,2,35,0,WD615.68C/21-H,410,7/2/2001,广州高华游艇制造有限公司,12/30/2015,80
TRAIN1133,多用途船,东莞,ZC,内河,65,17,6,2611,3144,C6190ZLC-1A,720,8/12/2015,广州市新怡船舶修造有限公司,1/4/2016,1028
TRAIN1134,散货船,肇庆,ZC,内河,52,11,4,599,1127,WP12C190-18,140,1/28/2015,高要市建航船舶修造有限公司,1/4/2016,160
TRAIN1135,多用途船,东莞,ZC,内河,65,16,6,2511,3990,C6190ZLC-2E,436,1/22/2015,连云港五洲船舶重工有限公司,1/4/2016,1197
TRAIN1136,自卸砂船,韶关,ZC,内河,60,13,4,964,1620,WD615.C-25,410,11/8/2013,韶关市龙冠船舶修造有限公司,1/4/2016,153.06
TRAIN1137,自卸砂船,肇庆,ZC,内河,52,10,3,589,524,6135ACa,199,8/15/2003,广州市白云区穗江船舶修造厂,1/4/2016,149.02
TRAIN1138,干货船,韶关,ZC,内河,52,12,3,596,849,WD615.68C-21,410,6/22/2006,韶关市豪江船舶修造厂,1/5/2016,100
TRAIN1139,自卸砂船,清远,ZC,内河,75,15,4,1625,2507,KTA19-R3,894,8/25/2005,佛山市三水新沙造船厂,1/6/2016,551.02
TRAIN1140,油船,广州,ZC,内河,44,8,3,298,435,6135ACa,188,6/12/1998,广东省南海市黄岐造船厂,1/7/2016,65
TRAIN1141,散货船,广州,ZC,内河,66,13,4,998,1549,G128ZLCa1,386,6/3/2015,广州市白云区穗江船舶修造厂,1/8/2016,200
TRAIN1142,油船,深圳,ZC,沿海,65,10,4,814,980,NTA-855-M350,474,10/31/1994,广东省西江船厂,1/11/2016,0
TRAIN1143,散货船,清远,ZC,内河,40,8,2,199,280,6135ZCa,126,10/6/2005,英德市鸿达造船厂,1/12/2016,36
TRAIN1144,散货船,清远,ZC,内河,71,14,4,1440,2149,WP12C296,436,11/26/2010,清远市附城镇白庙造船厂,1/13/2016,240
TRAIN1145,运泥船,清远,ZC,内河,70,14,4,1434,2484,WP12C300,440,9/18/2009,清远市清城区石角黄埔永生造船厂,1/13/2016,186
TRAIN1146,散货船,广州,ZC,内河,200,32,18,33580,57187,MAN B&W 6S50MC-C,8510,9/28/2004,渤海船舶重工有限责任公司,1/13/2016,15528
TRAIN1147,多用途船,广州,ZC,内河,50,12,4,978,1530,420WD618.C-13,420,9/20/2012,藤县濛江威盛造船厂,1/14/2016,130
TRAIN1148,自卸砂船,惠州,ZC,内河,59,13,4,968,1152,NT6135ZLCZR,367,7/18/2009,惠州市船舶修造厂,1/14/2016,150
TRAIN1149,集装箱船,广州,ZC,内河,50,13,5,998,1150,X6170ZC-15,660,8/30/2005,温岭市合兴船舶修造厂,1/14/2016,142.86
TRAIN1150,挖泥船,江门,ZC,内河,29,9,2,198,,无,0,6/7/2004,韶关市曲江县金元造船厂,1/14/2016,125
TRAIN1151,自卸砂船,清远,ZC,内河,34,7,2,165,180,6135Ca,76,11/8/1996,清远市水运一公司船厂,1/14/2016,68
TRAIN1152,打桩船,佛山,ZC,内河,37,15,3,505,,无,0,6/30/1995,广东省番禺粤丰船舶修造厂,1/14/2016,155
TRAIN1153,自卸砂船,广州,ZC,内河,58,12,4,1051,1484,G128ZLCa,360,11/28/2002,广州市番禺区粤丰船舶修造厂,1/18/2016,98
TRAIN1154,散货船,清远,ZC,内河,39,8,2,198,280,NTC35CzU,140,11/8/2005,清远市清城区石角乘龙造船厂,1/20/2016,30
TRAIN1155,散货船,清远,ZC,内河,42,9,2,316,250,G128ZCa,140,6/15/2001,清远市清新县山塘造船厂,1/20/2016,40.82
TRAIN1156,运泥船,清远,ZC,内河,32,6,2,124,97,6135Ca,76,2/16/1993,曲江县船舶修造厂,1/20/2016,10.2
TRAIN1157,半舱货船,肇庆,ZC,内河,45,9,3,445,722,6135ACa,199,12/8/2005,肇庆市水上区厂排船舶修造厂,1/22/2016,45
TRAIN1158,集装箱船,深圳,ZC,沿海,50,16,4,1153,1500,X6170ZC-3WA,660,8/28/2002,浙江省温岭市远洋船舶修造有限公司,1/22/2016,111
TRAIN1159,干货船,中山,ZC,内河,44,8,3,293,410,EK-100,265,9/8/1994,广东省东莞市珠黄涌船厂,1/25/2016,28.57
TRAIN1160,散货船,清远,ZC,内河,70,14,4,1426,2210,WP12C296,436,12/16/2008,清远市清城区石角镇石岩根龙造船厂,1/28/2016,320.41
TRAIN1161,自卸砂船,清远,ZC,内河,37,7,2,192,203,6135-C,88,9/2/2002,三水县内河运输公司拖驳分公司船厂,1/28/2016,44.9
TRAIN1162,运泥船,清远,ZC,内河,40,8,2,253,265,WD615.61C-15,110,6/21/2002,清远市清城区石角乘龙造船厂,1/28/2016,56
TRAIN1163,散货船,清远,ZC,内河,40,8,2,277,240,G128Ca,128,7/30/2001,清远市清城区石角镇石岩根龙造船厂,1/28/2016,26
TRAIN1164,集装箱船,惠州,ZC,沿海,70,14,6,1773,2200,Z8170ZLZC-2,700,9/19/2005,中车集团台州第七八一六工厂,1/29/2016,208
TRAIN1165,工程船,广州,CS,沿海,44,14,4,927,27,6MDX750A,662,1/1/1979,香港友联机器修理厂有限公司,1/29/2016,2000
TRAIN1166,自卸砂船,惠州,ZC,内河,78,18,4,2253,3327,KT38-M,1164,9/11/2013,广东博罗县园洲镇智成船舶修造厂,2/2/2016,650
TRAIN1167,散货船,韶关,ZC,内河,53,11,3,582,972,G128ZLCa,360,9/15/2009,韶关市金帆造船有限公司,2/2/2016,130
TRAIN1168,干货船,广州,ZC,内河,54,12,3,599,926,G128ZCa,280,1/25/2006,广州市花都区航运公司船舶修造厂,2/2/2016,98.04
TRAIN1169,干货船,云浮,ZC,内河,43,9,3,392,560,X6135ZCZ-2,176,9/27/2002,广西桂平船厂,2/2/2016,40.82
TRAIN1170,集装箱船,珠海,ZC,内河,50,13,5,999,980,NTC-400,660,1/20/2000,江西星子造船厂,2/2/2016,60
TRAIN1171,散货船,肇庆,ZC,内河,57,12,4,924,1672,WD618.C-13,420,3/28/2013,广东高要市华佳船舶修造有限公司,2/3/2016,149.02
TRAIN1172,自卸砂船,广州,ZC,内河,81,18,5,2322,3750,KTA19-M3,814,4/14/2008,广州市番禺区顺坤船舶修造厂,2/3/2016,300
TRAIN1173,自卸砂船,广州,ZC,内河,56,12,4,725,1046,G128ZCa,280,12/13/2001,广州市番禺区灵山航运船舶修造厂,2/16/2016,79
TRAIN1174,客渡船,广州,ZC,内河,21,6,2,114,,6135Ca,84,4/30/1984,中山市粤中船厂,2/17/2016,5
TRAIN1175,客渡船,广州,ZC,内河,21,6,2,119,,6135Ca,84,7/19/1982,中山市粤中船厂,2/17/2016,6
TRAIN1176,干货船,东莞,ZC,内河,50,10,4,585,902,NT-350,434,1/20/2000,番禺市潭洲造船公司,2/18/2016,55
TRAIN1177,集装箱船,广州,ZC,内河,50,10,4,696,672,NT855,432,8/9/1999,东莞市莞城水运船舶修造厂,2/18/2016,50
TRAIN1178,干货船,肇庆,ZC,内河,50,13,4,843,1360,NTA350,434,8/8/2000,湖北省黄石市造船厂,2/22/2016,75
TRAIN1179,自卸砂船,清远,ZC,内河,73,15,4,1752,2803,6M26.2,436,8/1/2012,清远市清城区石角黄布永生造船厂,2/23/2016,500
TRAIN1180,干货船,肇庆,ZC,内河,50,11,4,599,1090,WD618.C-22,352,3/30/2010,肇庆市端州区四连船舶修造厂,2/25/2016,106
TRAIN1181,干货船,东莞,ZC,内河,50,10,3,598,600,CUMMINS,426,3/30/1998,番禺兴华船厂,2/25/2016,49
TRAIN1182,干货船,肇庆,ZC,内河,39,8,2,198,325,NT6135CzU,140,12/15/2004,肇庆市端州区四连船舶修造厂,2/26/2016,15
TRAIN1183,干货船,肇庆,ZC,内河,39,8,2,218,320,6135ACa,99,1/16/2004,广宁县江积水运船机厂,2/26/2016,18
TRAIN1184,干货船,肇庆,ZC,内河,39,8,2,196,340,6135Ca,110,7/22/1994,广宁县水运公司船机修造厂,2/26/2016,12
TRAIN1185,干货船,肇庆,ZC,内河,39,8,2,195,220,6135ACA,95,6/2/1994,怀集县水运船舶修造厂,2/26/2016,12
TRAIN1186,干货船,肇庆,ZC,内河,39,8,2,196,345,6135A,94,4/18/1994,广宁县江积水运船机厂,2/26/2016,12
TRAIN1187,干货船,肇庆,ZC,内河,40,8,2,239,375,NT6135CZR3,132,1/31/1994,广宁县水运公司船机修造厂,2/26/2016,12
TRAIN1188,干货船,肇庆,ZC,内河,39,8,2,199,311,6135Ca,84,1/17/1994,怀集县造船厂,2/26/2016,12
TRAIN1189,干货船,肇庆,ZC,内河,40,8,2,197,294,6135,110,3/20/1992,广宁县江积水运船机厂,2/26/2016,12
TRAIN1190,干货船,肇庆,ZC,内河,40,8,2,198,268,6135ACa,105,1/31/1992,怀集县水运船舶修造厂,2/26/2016,12
TRAIN1191,多用途船,梧州,ZC,内河,55,13,4,1567,1872,WD618.C-13,420,4/14/2011,藤县濛江新兴船舶修造厂,3/1/2016,240
TRAIN1192,散货船,清远,ZC,内河,43,9,2,282,293,WD61561C-1,140,3/4/2001,韶关市水运公司船舶修造厂,3/1/2016,24.49
TRAIN1193,干货船,肇庆,ZC,内河,50,13,4,843,1360,NTC-350,434,7/28/2000,湖北省黄石市造船厂,3/1/2016,75
TRAIN1194,散货船,清远,ZC,内河,38,8,2,199,170,6135ACa,110,5/29/2000,清远市附城镇白庙船厂,3/1/2016,16.33
TRAIN1195,多用途船,东莞,ZC,内河,50,13,4,1081,1418,X6170ZC-12,660,5/9/2000,东莞市莞城水运公司船舶修造厂,3/1/2016,78
TRAIN1196,散运水泥船,东莞,ZC,内河,50,10,3,522,600,GARDNER,410,11/1/1993,广州珠江船厂,3/1/2016,50
TRAIN1197,散货船,清远,ZC,内河,32,7,2,192,200,6135ACa,94,4/24/1993,清远市水运公司船舶修造厂,3/1/2016,44
TRAIN1198,自卸砂船,广州,ZC,内河,90,19,5,2665,4986,8M26C750E201,1102,11/7/2014,广州市粤进造船有限公司,3/3/2016,775.51
TRAIN1199,自卸砂船,清远,ZC,内河,73,15,4,1478,2402,KTR45,746,1/13/2011,清新县山塘造船厂,3/3/2016,420.41
TRAIN1200,干货船,惠州,ZC,内河,45,13,3,471,532,G128ZLCa1,386,9/25/2015,惠州市建安船舶重工有限公司,3/4/2016,200
TRAIN1201,散货船,广州,ZC,内河,75,15,5,1814,3060,VP12C296,436,6/26/2015,高要市建航船舶修造有限公司,3/4/2016,200
TRAIN1202,自卸砂船,惠州,ZC,内河,70,14,4,1322,2041,KT19-M,576,12/5/2007,清远市清城区永利造船厂,3/4/2016,200
TRAIN1203,绞吸式挖泥船,惠州,ZC,内河,33,10,3,344,/,R6160A-4,184,5/10/2004,东莞市东盛船舶修造有限公司,3/4/2016,100
TRAIN1204,自卸砂船,河源,ZC,内河,53,10,4,598,874,EF750,264,4/15/2004,河源新江船舶修造厂,3/4/2016,75
TRAIN1205,自卸砂船,广州,ZC,内河,64,14,4,1248,1809,NTE-290,426,8/1/1994,鹤山市广鹤船舶修造厂,3/4/2016,180
TRAIN1206,集装箱船,广州,ZC,内河,50,13,4,998,1200,Z6170ZLCZ-1,436,10/15/2006,浙江振兴船舶修造有限公司,3/8/2016,100
TRAIN1207,干货船,深圳,ZC,沿海,84,16,7,2403,3480,8170ZC480-1,706,8/13/2002,南京永华船业有限公司,3/8/2016,800
TRAIN1208,集装箱船,惠州,ZC,内河,50,13,4,981,960,N6160ZC6,588,2/13/2000,浙江温岭胜海船厂,3/8/2016,97.96
TRAIN1209,集装箱船,惠州,ZC,内河,50,13,4,999,1248,KTA19-M400,590,4/12/1999,番禺市灵山造船厂,3/8/2016,100
TRAIN1210,集装箱船,广州,ZC,内河,50,16,5,1294,1704,X6170ZC-3W,852,8/18/2001,浙江省温岭市远洋船舶修造有限公司,3/9/2016,173.91
TRAIN1211,集装箱船,广州,ZC,内河,51,17,6,1279,1704,X6170ZC-4W,852,8/18/2001,浙江省温岭市远洋船舶修造有限公司,3/9/2016,200
TRAIN1212,干货船,清远,ZC,内河,36,8,2,171,210,WD6135CaU,140,6/1/2000,韶关市水运造船厂,3/9/2016,20
TRAIN1213,干货船,河源,ZC,内河,50,11,4,598,1115,WP12C1990,140,3/28/2014,紫金县古竹新江船舶修造厂,3/10/2016,135
TRAIN1214,散货船,清远,ZC,内河,75,14,4,1598,2707,YC6T190C,280,8/15/2013,清远市清城区石角乘龙造船厂,3/10/2016,400
TRAIN1215,自卸砂船,惠州,ZC,内河,69,16,4,1586,2359,KTA19-M500,678,11/5/2009,广东省惠州市潼湖志发实业有限公司,3/10/2016,250
TRAIN1216,干货船,韶关,ZC,内河,43,9,2,315,239,NT6135CzU,140,12/18/2002,韶关市曲江金元造船厂,3/10/2016,48
TRAIN1217,自卸砂船,惠州,ZC,内河,58,13,4,884,1180,NTA-855-M350,436,11/3/2002,惠州市船舶修造厂,3/10/2016,120
TRAIN1218,散货船,清远,ZC,内河,66,13,4,996,1989,G128ZLCa,360,3/25/2015,清远市清新区白庙利民船厂,3/14/2016,330.61
TRAIN1219,自卸砂船,东莞,ZC,内河,80,19,5,2537,3746,KT38-MO,1342,9/7/2012,东莞市东盛船舶修造有限公司,3/14/2016,380
TRAIN1220,散货船,清远,ZC,内河,66,13,4,1099,1565,WP12C280-18,410,6/9/2011,清远市附城镇白庙船厂,3/14/2016,200
TRAIN1221,集装箱船,广州,ZC,内河,50,16,5,1783,2250,Z6170ZLCZ-9,800,6/12/2009,安庆市宁江船舶修造贸易有限公司,3/14/2016,218.37
TRAIN1222,油船,温州,ZC,近海,88,14,6,1986,2948,G6300ZCA,735,8/17/2006,温州瓯南船业有限公司,3/14/2016,1500
TRAIN1223,散货船,清远,ZC,内河,40,9,2,289,260,NT6135CzU,140,1/9/2002,清远市清城区石角乘龙造船厂,3/14/2016,30.61
TRAIN1224,液化气体船,湛江,CCS,沿海,86,14,7,2203,1768,A38,2059,7/22/1996,日本,3/14/2016,1100
TRAIN1225,集装箱船,惠州,ZC,内河,45,12,3,598,768,cummins,434,1/1/1993,清远市附城船厂,3/14/2016,90
TRAIN1226,油船,深圳,ZC,沿海,44,8,4,301,567,R6160A-6,202,2/22/2013,台州市路桥金清海祥船舶修造有限公司,3/15/2016,98
TRAIN1227,油船,深圳,ZC,近海,55,9,4,498,805,Z6170ZLCZ-1,218,3/10/2006,温岭市丰源船务有限公司,3/16/2016,188
TRAIN1228,集装箱船,深圳,ZC,沿海,50,11,5,778,915,N6160ZLC10,471,4/7/2003,浙江省台州市椒江中兴造船厂,3/16/2016,96
TRAIN1229,干货船,肇庆,ZC,内河,40,8,3,2869,517,6135Ca,76,3/10/1994,肇庆市港发船舶服务有限公司,3/17/2016,20
TRAIN1230,集装箱船,广州,ZC,内河,50,15,4,1326,1728,X6170ZC-111,706,1/17/2007,温岭市远洋船舶修造厂,3/18/2016,183.67
TRAIN1231,自卸砂船,广州,ZC,内河,72,16,4,1598,2418,KTA19-M3,814,11/19/2007,广州市番禺区石楼秀祥船舶修造厂,3/21/2016,150
TRAIN1232,散货船,广州,ZC,远洋,190,32,18,32858,57000,/,9480,12/20/2010,厦门船舶重工股份有限公司,3/22/2016,4450
TRAIN1233,散货船,清远,ZC,内河,33,7,2,154,146,6135Ca,84,9/18/1993,清远市清城区石角乘龙造船厂,4/1/2016,20.41
TRAIN1234,自卸砂船,广州,ZC,内河,84,18,5,2523,4147,KT38-M,1192,12/13/2012,博罗县园洲镇智成船舶修造厂,4/5/2016,400
TRAIN1235,集装箱船,广州,ZC,内河,90,20,5,2859,4814,KTA38-MO,1342,10/31/2012,博罗县园洲镇智成船舶修造厂,4/5/2016,450
TRAIN1236,散货船,惠州,ZC,内河,50,11,3,598,1038,G128Ca,267,8/22/2006,肇庆水上区厂丰船厂,4/5/2016,100
TRAIN1237,干货船,肇庆,ZC,内河,40,8,3,256,412,6135ACa,95,10/9/1994,广西藤县三益船厂,4/6/2016,12.24
TRAIN1238,干货船,惠州,ZC,内河,59,12,4,836,1605,WD615.61C-6A,280,9/15/2011,博罗县园洲镇飞骏船厂,4/7/2016,149.02
TRAIN1239,干货船,清远,ZC,内河,43,9,2,286,427,NT6135CzU,140,6/2/2005,河源新江船舶修造厂,4/7/2016,48.98
TRAIN1240,干货船,清远,ZC,内河,39,8,2,198,275,NT6135CzU3,140,8/24/2004,韶关市曲江县金元造船厂,4/7/2016,22
TRAIN1241,自卸砂船,广州,ZC,内河,54,10,3,577,616,EF550,353,11/2/1999,增城市航运总公司船舶修造厂,4/7/2016,81.63
TRAIN1242,自卸砂船,广州,ZC,内河,44,8,2,314,300,6135ACa,189,8/3/1996,增城石滩官海船厂,4/7/2016,40
TRAIN1243,干货船,广州,ZC,内河,38,8,2,259,359,6136ACa,110,12/2/1994,广西贵港,4/7/2016,11.43
TRAIN1244,运泥船,清远,ZC,内河,32,6,2,129,96,6135Ca,88,5/22/1993,清远市清城区石角黄埔永生造船厂,4/7/2016,12.24
TRAIN1245,散货船,清远,ZC,内河,39,8,2,199,280,6135JZCa,126,1/11/2005,英德市鸿达造船厂,4/8/2016,21
TRAIN1246,散货船,广州,CS,无限航区,190,32,18,32964,57000,6S50MC-C7,9480,7/29/2011,扬帆集团股份有限公司,4/11/2016,5100
TRAIN1247,干货船,广州,ZC,内河,49,10,4,558,681,Z6170ZLCZ-1,220,9/27/2003,浙江台州路桥金新船舶修造厂,4/11/2016,1200
TRAIN1248,干货船,广州,ZC,内河,49,9,3,434,446,X6160ZC2,255,7/28/1999,浙江台州路桥金新船舶修造厂,4/11/2016,24
TRAIN1249,自卸砂船,广州,ZC,内河,42,9,3,377,445,6135ACa,197,4/20/1995,增城市官海航运公司第二船厂,4/11/2016,20.41
TRAIN1250,干货船,肇庆,ZC,内河,88,17,6,2962,5600,XCW6200ZC,1396,12/30/2012,江苏润扬船业有限公司,4/12/2016,480
TRAIN1251,干货船,肇庆,ZC,内河,39,8,2,199,304,6135Q,88,11/26/1994,广宁县江积水运船机厂,4/12/2016,8
TRAIN1252,干货船,肇庆,ZC,内河,39,8,2,199,328,6135ACa,105,6/13/1994,广宁县水运船机修造厂,4/12/2016,10
TRAIN1253,干货船,肇庆,ZC,内河,39,8,2,213,333,6135Ca,88,5/18/1994,广宁县水运船机修造厂,4/12/2016,8
TRAIN1254,干货船,肇庆,ZC,内河,39,8,2,215,298,6135AG,110,3/2/1994,广宁县江积水运船机厂,4/12/2016,10
TRAIN1255,干货船,肇庆,ZC,内河,39,8,2,198,280,6135ZCa,133,7/28/1993,惠州市船舶修造厂,4/12/2016,12
TRAIN1256,干货船,肇庆,ZC,内河,40,8,2,196,340,6135Q,118,11/11/1992,石涧大浪洲船厂,4/12/2016,10
TRAIN1257,自卸砂船,广州,ZC,内河,70,16,4,1515,2288,KTA19-M,678,9/8/2008,广州番禺区顺坤船舶修造厂,4/14/2016,1000
TRAIN1258,干货船,广州,ZC,内河,50,13,4,954,1152,WD618C-13,3600,10/14/2005,广西桂平船厂,4/14/2016,300
TRAIN1259,干货船,韶关,ZC,内河,46,9,2,359,275,WD615C-24,140,2/3/2002,韶关曲江犁市船厂,4/14/2016,50
TRAIN1260,干货船,广州,ZC,内河,50,13,4,931,1864,WD618.C-13,420,2/22/2009,横县横州航运公司船舶修造厂,4/19/2016,90
TRAIN1261,干货船,惠州,ZC,内河,55,12,3,659,900,NTA855-M290,362,9/6/2008,东江航道局航标船舶维修站,4/19/2016,100
TRAIN1262,干货船,惠州,ZC,内河,58,13,4,916,1188,MT855-G2,500,10/20/2006,惠州市潼湖志发实业有限公司潼湖船舶修造厂,4/19/2016,130
TRAIN1263,干货船,惠州,ZC,内河,50,11,3,596,1021,G128Ca,267,12/23/2005,肇庆市水上区厂排船舶修造厂,4/19/2016,100
TRAIN1264,散货船,清远,ZC,内河,75,15,4,1599,1428,Z8170ZLCz-30,436,11/2/2005,清远市山塘水运公司船舶修造厂,4/19/2016,190
TRAIN1265,自卸砂船,惠州,ZC,内河,46,10,4,476,788,NTA855-M350,213,7/21/2005,惠州市船舶修造厂,4/19/2016,75
TRAIN1266,自卸砂船,惠州,ZC,内河,61,14,4,998,1538,NT855-M290,362,10/29/2003,惠州市潼湖船舶修造厂,4/19/2016,130
TRAIN1267,干货船,惠州,ZC,内河,42,8,3,317,300,WD615.61C-24,140,1/30/2002,东莞市茶山大新造船厂,4/19/2016,40
TRAIN1268,干货船,东莞,ZC,内河,50,10,4,594,878,NT855,432,5/18/1999,温岭市凯利船舶修造有限公司,4/19/2016,39.22
TRAIN1269,干货船,东莞,ZC,内河,47,10,3,544,500,N-T-855-M-300,402,8/28/1995,肇庆市华兴船舶修造厂,4/19/2016,39.22
TRAIN1270,干货船,东莞,ZC,内河,50,10,4,598,666,NTC290,426,5/26/1995,东莞市莞城水运公司船舶修造厂,4/19/2016,39.22
TRAIN1271,干货船,惠州,ZC,内河,49,10,4,534,813,6160A-11,248,9/8/1994,广东省南海造船厂,4/19/2016,50
TRAIN1272,自卸砂船,惠州,ZC,内河,50,10,3,563,807,NTA855-M350,213,5/28/1994,浙江温岭松门造船厂,4/19/2016,75
TRAIN1273,干货船,惠州,ZC,内河,41,8,2,198,337,资料未显示,88,4/20/1993,龙川县水运公司船厂,4/19/2016,20
TRAIN1274,干货船,惠州,ZC,内河,48,10,3,532,784,NT855-M300,406,3/19/1993,越南,4/19/2016,70
TRAIN1275,自卸砂船,惠州,ZC,内河,68,15,4,1465,2280,KTA19-M500,678,1/7/2011,博罗县园洲镇顺航船舶修造厂,4/20/2016,350
TRAIN1276,运泥船,清远,ZC,内河,48,10,3,454,456,6135ACa,188,10/9/2002,清新县山塘造船厂,4/20/2016,79.59
TRAIN1277,干货船,广州,ZC,内河,38,8,2,199,330,6135Ca,85,10/17/1994,清远石角镇石岩根龙造船厂,4/20/2016,10.2
TRAIN1278,干货船,韶关,ZC,内河,52,11,3,570,662,NT6135CZU,263,5/23/2007,韶关市通能船务有限公司造船厂,4/25/2016,100
TRAIN1279,自卸砂船,惠州,ZC,内河,74,17,4,1598,2660,KTA38-M780,1058,5/15/2006,惠州市潼湖船舶修造厂,4/25/2016,300
TRAIN1280,自卸砂船,惠州,ZC,内河,51,12,3,599,850,NT855-M300,406,8/20/2005,惠州市潼湖船舶修造厂,4/25/2016,100
TRAIN1281,自卸砂船,惠州,ZC,内河,52,12,3,597,865,NT855-M300,406,6/17/2004,广东省东莞市造船厂,4/25/2016,100
TRAIN1282,运泥船,惠州,ZC,内河,40,10,3,383,485,6135CA,168,4/18/2002,广州市番禺区粤丰船舶修造厂,4/25/2016,30
TRAIN1283,干货船,东莞,ZC,内河,50,10,4,584,870,NT-855,426,10/26/1998,东莞市莞城水运公司船舶修造厂,4/25/2016,36
TRAIN1284,干货船,惠州,ZC,内河,47,10,3,545,892,6160A-14,164,8/1/1995,浙江省黄岩市金清造船厂,4/25/2016,80
TRAIN1285,干货船,东莞,ZC,内河,48,10,3,543,520,GARDNER/3,297,3/30/1994,浙江省黄岩市金清造船厂,4/25/2016,50
TRAIN1286,干货船,惠州,ZC,内河,40,8,3,242,450,6135,88,11/10/1993,清远石角船厂,4/25/2016,30
TRAIN1287,干货船,惠州,ZC,内河,38,8,2,229,280,NT855-M290,203,9/6/1993,博罗县观音阁船厂,4/25/2016,10
TRAIN1288,干货船,惠州,ZC,内河,41,10,3,522,740,6135ACA,110,6/30/1991,广州造船厂,4/25/2016,50
TRAIN1289,干货船,韶关,ZC,内河,40,7,2,190,215,6135,76,4/2/1990,清远市华中船厂,4/25/2016,34
TRAIN1290,散货船,韶关,ZC,内河,62,13,4,978,1886,G128ZLCA8/2,280,3/1/2016,韶关市金帆造船有限公司,4/26/2016,200
TRAIN1291,散货船,清远,ZC,内河,43,9,3,346,285,67G-10,176,7/8/2008,清远市清新县山塘造船厂,4/26/2016,40.82
TRAIN1292,干货船,东莞,ZC,内河,74,16,6,2150,3465,CW6200ZC-16,700,6/14/2006,浙江省温岭市合兴船舶修造厂,4/26/2016,310
TRAIN1293,自卸砂船,肇庆,ZC,内河,90,19,6,3152,5357,KT38-M,1164,7/8/2011,高要市华佳船舶修造有限公司,4/27/2016,448.98
TRAIN1294,干货船,云浮,ZC,内河,50,11,4,598,1090,WD615.C-22,352,1/15/2011,肇庆市宝龙船舶修造有限公司,4/27/2016,100
TRAIN1295,干货船,云浮,ZC,内河,50,12,4,875,1783,WD615.68C01N,400,11/22/2010,广西梧州市群升船舶设计工程有限公司,4/27/2016,150
TRAIN1296,多用途船,广州,ZC,近海,115,16,8,4434,6930,8320ZCD-6/1,2060,7/19/2006,温岭市礁山船舶修造厂,4/27/2016,1800
TRAIN1297,自卸砂船,广州,ZC,内河,73,15,4,1696,2671,KTA19-M,746,8/8/2012,清远市山塘水运公司船舶修造厂,5/5/2016,220
TRAIN1298,干货船,惠州,ZC,内河,50,11,3,598,1038,G128Ca,267,2/1/2007,肇庆市水上区厂排船舶修造厂,5/5/2016,100
TRAIN1299,干货船,云浮,ZC,内河,49,10,3,560,945,6135ACa-1,221,12/22/2006,郁南县都航船舶修造厂,5/5/2016,89
TRAIN1300,干货船,韶关,ZC,内河,38,8,2,199,190,NT6135C2R3,132,10/13/2000,韶关曲江县祥兴船舶修造厂,5/5/2016,39
TRAIN1301,散货船,清远,ZC,内河,33,6,2,122,107,6135Ca,76,1/17/1994,清远市山塘水运公司船舶修造厂,5/5/2016,8
TRAIN1302,干货船,惠州,ZC,内河,42,9,3,389,585,6135ACa,221,8/22/1993,贵港市横岭船厂,5/5/2016,30
TRAIN1303,干货船,肇庆,ZC,内河,49,11,4,595,1102,WD615.C-24,280,11/12/2009,贵港市港宇造船有限公司,5/11/2016,30.61
TRAIN1304,干货船,肇庆,ZC,内河,43,10,3,441,682,NT6135C2RX,129,7/13/2003,广西桂平船厂,5/11/2016,20.41
TRAIN1305,自卸砂船,肇庆,ZC,内河,50,10,3,595,716,J6135CZAX,232,4/13/2003,广西平南县运龙船舶修造有限公司,5/11/2016,59.18
TRAIN1306,自卸砂船,广州,ZC,内河,68,14,5,1582,2324,KTA19-M600,814,12/12/2002,广州市番禺区粤丰船舶修造厂,5/11/2016,200
TRAIN1307,干货船,清远,ZC,内河,40,9,2,239,199,NT6135C2R3,132,3/21/2001,韶关市水运公司船舶修造厂,5/11/2016,28.57
TRAIN1308,自卸砂船,肇庆,ZC,内河,54,11,3,709,1030,23207332,420,4/12/1998,东莞船厂,5/11/2016,69.39
TRAIN1309,干货船,肇庆,ZC,内河,42,9,3,351,450,6135ACa,110,10/20/1993,桂平市江口第三水运公司,5/11/2016,20.41
TRAIN1310,自卸砂船,清远,ZC,内河,47,10,2,469,375,NT6135C2R,264,2/22/2001,清远市水运船舶修造厂,5/16/2016,60
