日期,造船板价格,城市
2010/2/5,4250,上海
2010/2/8,4250,上海
2010/2/9,4250,上海
2010/2/10,4250,上海
2010/2/11,4250,上海
2010/2/12,4250,上海
2010/2/20,4250,上海
2010/2/21,4250,上海
2010/2/22,4250,上海
2010/2/23,4250,上海
2010/2/24,4250,上海
2010/2/25,4250,上海
2010/2/26,4250,上海
2010/3/1,4250,上海
2010/3/2,4300,上海
2010/3/3,4300,上海
2010/3/4,4300,上海
2010/3/5,4300,上海
2010/3/8,4330,上海
2010/3/9,4350,上海
2010/3/10,4350,上海
2010/3/11,4400,上海
2010/3/12,4450,上海
2010/3/15,4450,上海
2010/3/16,4500,上海
2010/3/17,4550,上海
2010/3/18,4550,上海
2010/3/19,4550,上海
2010/3/22,4600,上海
2010/3/23,4650,上海
2010/3/24,4650,上海
2010/3/25,4700,上海
2010/3/26,4750,上海
2010/3/29,4800,上海
2010/3/30,4850,上海
2010/3/31,4850,上海
2010/4/1,4850,上海
2010/4/2,4850,上海
2010/4/6,4900,上海
2010/4/7,4900,上海
2010/4/8,4950,上海
2010/4/9,4950,上海
2010/4/12,5000,上海
2010/4/13,5050,上海
2010/4/14,5050,上海
2010/4/15,5050,上海
2010/4/16,5050,上海
2010/4/19,5050,上海
2010/4/20,5050,上海
2010/4/21,5050,上海
2010/4/22,5050,上海
2010/4/23,5050,上海
2010/4/26,5050,上海
2010/4/27,5050,上海
2010/4/28,5050,上海
2010/4/29,5150,上海
2010/4/30,5150,上海
2010/5/4,5150,上海
2010/5/5,5200,上海
2010/5/6,5200,上海
2010/5/7,5200,上海
2010/5/10,5200,上海
2010/5/11,5200,上海
2010/5/12,5150,上海
2010/5/13,5150,上海
2010/5/14,5150,上海
2010/5/17,5100,上海
2010/5/18,5080,上海
2010/5/19,5050,上海
2010/5/20,5050,上海
2010/5/21,5050,上海
2010/5/24,5050,上海
2010/5/25,5050,上海
2010/5/26,5050,上海
2010/5/27,5050,上海
2010/5/28,5050,上海
2010/5/31,5000,上海
2010/6/1,5000,上海
2010/6/2,5000,上海
2010/6/3,5000,上海
2010/6/4,5000,上海
2010/6/7,4950,上海
2010/6/8,4950,上海
2010/6/9,4950,上海
2010/6/10,4900,上海
2010/6/11,4900,上海
2010/6/12,4900,上海
2010/6/13,4900,上海
2010/6/17,4900,上海
2010/6/18,4900,上海
2010/6/21,4880,上海
2010/6/22,4880,上海
2010/6/23,4830,上海
2010/6/24,4830,上海
2010/6/25,4800,上海
2010/6/28,4800,上海
2010/6/29,4800,上海
2010/6/30,4730,上海
2010/7/1,4730,上海
2010/7/2,4700,上海
2010/7/5,4700,上海
2010/7/6,4600,上海
2010/7/7,4600,上海
2010/7/8,4600,上海
2010/7/9,4600,上海
2010/7/12,4600,上海
2010/7/13,4550,上海
2010/7/14,4550,上海
2010/7/15,4550,上海
2010/7/16,4500,上海
2010/7/19,4500,上海
2010/7/20,4500,上海
2010/7/21,4500,上海
2010/7/22,4500,上海
2010/7/23,4550,上海
